clean_text,suspicious_score,is_vague,compensation,is_scam
operator technician sterilization sterilization operator hr pine sterilization service nj usajob title operator technicianoperator technician monday friday type timebenefit offer dental medical pay time retirement visioncompensation hourwhy work career pharmaceutical manufacturing work high perform family own operate applicant agree background resume apply duty responsibility wash glassware medical component dedicated washing equipmentwork cleanroom wear proper ppe perform aseptic cleaning packagingload unload manufacturing equipmentpackage process productmonitor process system equipmentperform daily weekly equipment preventative maintenance task assist maintenance plant safety committee follows establish safety rule document work perform assign sanitize disinfect workstation task assign requirement good communication skill write write legibly consistent able add subtract multiply willing work establish able lift minimum pound perform repetitive bending lift motion period prince sterilization service prince sterilization service llc contract steam dry heat sterilization provider serve pharmaceutical compound pharmacy medical device biotech recruiter contact job poster,0,0,$24 /hour,0
laboratory analyst bloomsburg pa ieh laboratory leader food safety accept application laboratory analyst position facility bloomsburg candidate possess high school diploma ge require associate degree biology related field proficiency datum entry computer ability multitask work fast pace strong write verbal communication strong attention strong understanding aseptic technique laboratorylaboratory analyst duty include analysis food sample pathogen pcr immunoassay microbe enumeration datum entry laboratory reporting quality control medium preparation duty time position eligible standard benefit brief waiting period laboratory operate weekend candidate willing work exposure food allergen laboratory environment applicant moderate severe food allergy discourage apply position access company job post navigate url list ask complete optional self identification survey submit cover letter resume reference combine single opportunity vet site default,0,0,$20.00 - $22.00 hourly,0
seek wetland staff scientist land surveying civil engineering firm look environmental scientist wetland staff business year look add great talent diverse team environmental scientist wetland staff scientist position cover variety responsibility include assist sr project manager team field work site visit assessment remediation wetland science regulatory compliance environmental permitting way support client work state local client notice intent noi amend order condition aooc minor modification variance certificate compliance coc request determination application rda abbreviate notice resource area delineation anrad etc submit local state preparation permit application composition include flood elevation certificate sewer permit stormwater report preliminary definitive subdivision field team perform ecological wetland survey functional assessment wildlife habitat evaluation rare specie survey include soil characterization plant specie communicate client project team mean discuss project detail prepare necessary study technical obtain permit requirement abutter list notification certify mailing notification announcement ad publishing coordination collect signature filing fee client submission adhere guideline local state compliance monitoring participation presentation public hearing include limited conservation zone board historical plan board healthcandidate detail orient able pay close attention timeline meet deadline filing track renewal filing date etc administrative experience need willing entertain entry level candidate background environmental science wetland time time position open discuss option respond post short description background qualification attach update resume respond meet requirement seek appreciate submission thank take time apply good luck,0,0,Compensation to be determined based on the chosen candidate’s experience and background.,0
investigative decision make study recruit people participate study people legal decision study place bmw w stnew york ny statesdure study learn recent event complete short pay cash minute fluent english year old like participate fill short questionnaire jfe form,0,0,$20 ,0
electrical telecom cctv technician technicial sale grow queen nyc base electronic security firm seek entry level experience electrical fire alarm burglar alarm cctv access control intercom communication system installer service technician technical sale support personnel previous electrical fire alarm burglar alarm access control cctv system installation programming experience training install service engineer fire burglar alarm system access control system cctv intercom related electronic system able work blueprint electrical layout building degree technical trade school solid relate work experience related communication skill order effectively communicate nyc sst read blueprint schematic motivated self starter team player good work ethicsmust driver license clean driving record drug usemust able work legallypaid vacation sick day holiday benefit good opportunityplease forward resume personnel departmentthank,0,0,Based on experience ($18 - $25 Per hour to start ),0
field technician need young driven dedicated individual car able travel mile provide service multiple client give week work vary troubleshoot installation equipment system industry include network telecommunication audio visual computer hardware software servicing train skilled technician opportunity earn grow contract month wish continue dependent performance training month soon skilled complete service request support soon pay rate increase patient professional individual succeed field,0,0,"$17/hr during training, $25/hr after training with increase depending on performance",0
assistance look teach computer cell phone application basic office program like help learn computer easy care obviously use computer work need assistance break thing basic easy struggle like actually like handle technology frustrated need able wrap head easy time system use goal use frustration good assist appreciate thank advance,0,0,Negotiatable,0
experience wiring tech inside wiring networking team lead location brooklyn nycompensation competitive base experienceemployment type timewe actively seek highly experiencedwire technician networking team leadswith minimum year hand experiencein inside wiring leading installation team role demand strong technical skill familiarity managing project digital platform solid understanding network system routing particularly environment usingubiquiti unifi similar fast grow nyc base internet service provider focus deliver high quality infrastructure reliable connectivity residential commercial responsibility lead execute structured cabling inside wiring residential commercial coordinate field technician manage day day site job management tool software scheduling task tracking configure troubleshoot network system include routing wireless platform ubiquiti closely engineering project management team ensure timely high standard clean professional code compliant install qualification minimum year experience structured cabling termination inside ability lead small medium sized install work knowledge network routing switching wireless platform ubiquiti unifi mikrotik crm project management software track workflow communicate sst driver license clean drive communication skill customer focus experience background work large scale low voltage infrastructure new construction fiber termination idfs mdfs rack installation structure wiring mdu commercial work competitive pay growth opportunitiessupportive team environmentwork high impact infrastructure project nycexposure innovative platform challenge technical environmentsto apply reply resume short note recent experience inside wiring network platform,0,0,65k-80k + bonus + full health,0
luxury residential av integration specialist location washington dc maryland virginia regiontype time personschedule monday thursday hour base experience certification performance experience systemsat smarttouch usa install tech orchestrate living experience elevate people interact environment boutique av integration firm obsessive focus quality discretion elegant system design region discern residential commercial detail drive technician craftsman mindset ambition mastery opportunity join elite team redefine integration doas av integration specialist work high end residential light commercial project take ownership pulling terminating test low voltage cabling cat fiber speaker wire lutron qs power mount wiring av network lighting shading environmental control building dress equipment rack premium programming configure smart system lutron savant installing calibrate distribute audio video theater implement structured network include manage switch wireless troubleshoot resolve issue field minimal collaborate project lead designer uphold white glove service look good hand think system thrive solve real world problem pride invisible perfection approach install like year experience av integration low voltage wiring system proficiency tool ladder construction environment site familiarity premium platform lutron savant strong spatial reasoning mechanical steady employment history professional compose demeanor high end client experience luxury residential boutique commercial understanding ip base system network prior certification cedia ct interest obtain growth build structured advancement framework let talented technician evolve designer project leader technical integration specialist core system installation good technical specialist advanced troubleshooting system project lead site management client liaison complex system architect design delivery technical director innovation leadership mentorship step come mentorship increase autonomy compensation offerwe invest people invest pay hr base expertise clear advancement schedule time opportunity benefit matcho premium health dental visiono pay holiday week ptoo company fund certification training pathso performance longevity tool access professional grade tool test team solution architect technologist craftspeople value precision discretion pride work system touch reflect obsession seamless integration invisible eye deeply feel experience,0,0,$25–$45,0
av datum voice cable installer pm pre sale quote sub hotbed technologies inc currently search experienced av engineer datum voice cable installer project manager purchase rep pre sales engineer subcontractor project northern va md dc available work time employee hour normal work hour ongoing project involve engineer hand experience run av cable terminate connector mount tv projector instal speaker mic amp mixer control system etc lv installer experience cable project fiber coax cable require experience run terminate cable requirement experience punch patch panel jack testing require able operate hilti gun j hook bundle consolidation use fluke tester fiber experience time installer position involve work normal hour time hour weekend basic tool transportation pt installer weekly workload hour start goal make time position time subcontract company quote experience oversee crew pull cable punch patch panel terminate jack fluke testing require experience order cable equipment project distributor require ability use ms excel ms word quote preparation require ability cable built mark floorplan quote require supervisory position hand role time sale engineer experience conduct sale call design av lv system create proposal excel create system diagram plus experience cctv access control system office mclean va work dc metro interested email require salary hourly rate resume website information company,0,0,See above,0
low voltage voice datum field technician structured cable technician new wireless system integration company locate massachusetts service new england surround area currently seek field technician service project work position need fill immediately strong field service overview criterion candidate possess experience low voltage voice datum cabling understanding basic network topology ip scheme plus experience wireless lan wan cellular deployment plus experience power tool drill screw gun saw etc clean driving record provide follow vehicle fuel card cellular phone laptop tablet health compensation base experience incentive package base performance sign incentive pay completion probationary respond listing provide resume compensation request,0,0,Compensation is based upon experience.,0
software engineering manager software engineering day site dedham ma software engineering manager responsible oversee development maintenance proprietary operational system grow organization key responsibility include manage team developer collaborate product roadmap ensure system stability performance customer satisfaction drive agile development process role require balance multiple task mentor team member implement scalable engineering solution manager help plan multi year program system migration hire qualified developer improve team responsibility lead team developer design build maintain proprietary stakeholder develop strategic roadmap set project timeline scope task manage compete demand fast pace scalable solution engineering challenge maintain software team member good practice conduct performance departmental policy improve team implement beneficial technology year software development experience year management python django react experience leadership communication interpersonal explain technical solution non technical datum architecture cloud technology automate pipeline agile methodology performance optimization bachelor degree computer science related hill equal opportunity employer individual disability protect veteran encourage resident qualified application arrest conviction record consider employment accordance los angeles county fair chance ordinance employer california fair chance like complete voluntary self identification form pleaseclick hereor copy paste following link open window browser eeoc completion form voluntary affect opportunity employment term condition employment form report purpose keep separate profile beacon hill technology premier national information technology staffing group provide world class technology talent industry utilize complete suite staffing service beacon hill technology dedicated team recruit staff expert consistently deliver quality professional solve customer technical business hill technology cover broad spectrum position include project management business analysis programming development database infrastructure quality assurance production support erp beacon hill specialty division beacon hill associates beacon hill financial beacon hill hr beacon hill legal beacon hill life sciences beacon hill technology information beacon hill offer robust benefit package include limit medical dental vision federal state leave program require applicable agency regulation meet eligibility successfully hire detail provide related benefit look forward work hill employ future,2,0,Negotiable,1
design engineer partiful multiple opening multiple position include design engineer wfh responsible develop innovative solution optimize scale mobile web base application duty include design implement new feature enhance extend partiful experience online platform ongoing user testing exist feature include independent performance analysis diagnosis troubleshooting analyze user feedback determine design programming solution technical constraint user need document technical specification development protocol rapidly roll upgrade new feature integrate innovative technique technology improve efficiency develop functional aesthetically pleasing user interface optimize performance company continue grow collaborate design development responsive adaptive web mobile interface ensure align overall product vision remain date late industry trend tool technology continuously improve design process duty assign employee station continental report headquarters new york bachelor degree computer science software engineering human computer interaction closely related field foreign month experience job offer relate position special requirement include month experience web development technology html css javascript react month experience work figma month experience implement ux principle design system responsive design protocol month experience work cross functionally design engineering team month experience create wireframe web base prototype implement design range applicant send resume hello clearly reference job,2,0,,1
enroll software boot camp online today land tech job tech academy deliver cost effective self pace online code boot camp tailor beginner prior technical code knowledge certification program thoroughly cover demand skill tech industry endorse stellar online review design fit personal schedule prepare tech career rounded tool kit offer thorough budget friendly flexible trust code boot camp tech academy specialize certify student wide range technical specialty include ai coding cybersecurity datum science app development design web development code boot camp job placement specialist provide career guidance team successfully place graduate technical position make average hour job overview tech academy certification flexible scheduling self pace beginner friendly round thorough affordable budget friendly star review job placement training assistancethe tech academy online certification program start multiple tuition financing option available start journey technology industry today award win online code boot contact dream job tech tech academy boot camp away,0,0,$30+ an hour,0
software developer mid mult opening autonomously participate phase entire software development lifecycle initial requirement gather final quality assurance implementation subsequent enhancement support product engage problem definition decomposition solution definition scope application research design develop functional technical design specification knowledge object orient programming heterogeneous tech environment c java python unix linux windows analyze user need software requirement determine feasibility design time cost bachelor degree computer science engineering mathematic related discipline foreign equivalent plus year progressive experience develop software application utilize combination c python java combination unix linux window master degree computer science engineering mathematic related discipline foreign equivalent plus year experience develop software application utilize combination c python java combination unix linux windows email resume ref job code,0,0,-,0
enroll software boot camp online today land tech job tech academy deliver cost effective self pace online code boot camp tailor beginner prior technical code knowledge certification program thoroughly cover demand skill tech industry endorse stellar online review design fit personal schedule prepare tech career rounded tool kit offer thorough budget friendly flexible trust code boot camp tech academy specialize certify student wide range technical specialty include ai coding cybersecurity datum science app development design web development code boot camp job placement specialist provide career guidance team successfully place graduate technical position make average hour job overview tech academy certification flexible scheduling self pace beginner friendly round thorough affordable budget friendly star review job placement training assistancethe tech academy online certification program start multiple tuition financing option available start journey technology industry today award win online code boot contact dream job tech tech academy boot camp away,0,0,$30+ an hour,0
information technology intern entry level excellent opportunity grow atmosphere great coworker excellent opportunity professional development advancement time time work position provide vacation holiday health dental disability life insurance plan discretionary profit device manufacturer seek entry level personnel integral team position responsible provide support information technology department position require candidate learn assist following function assist network setup configuration ensure operation need metensure licensing compliancesetup train new employee systemsmonitor system remote accessprovide daily system user supportconfigure install desktop laptop device new hiresperform hardware replacement necessaryinstall configure test maintain monitor troubleshoot workstation related hardware softwaremaintain security privacy information system communication line equipmentmaintain datum backup recoveryworke knowledge infrastructure networking firewall domainsexcellent write verbal communication skillsmust focused self starter motivated work minimal supervisionability thrive dynamic environmentif individual disability require reasonable accommodation complete application process limit ability unable access use online application process need alternative method apply contact aadco main office employment opportunity policyit policy aadco medical inc discriminate employee applicant employment race color religion sex national origin age marital status genetic information disability protect veteran policy aadco medical inc affirmative action employ advance employment person regardless race color religion sex national origin age marital status genetic information disability protect veteran status base employment decision valid job requirement policy shall apply employment action include limit recruitment hiring upgrading promotion transfer demotion layoff recall termination rate pay form compensation selection training include apprenticeship level applicant aadco medical inc subject harassment basis race color religion sex national origin age marital status genetic information disability protect veteran additionally retaliation include intimidation threat coercion employee applicant object discrimination engage engage file complaint assist review investigation hearing seek obtain legal right federal state local eeo law employee company protect federal law discrimination basis follow link find,1,0,DoE,0
rpa analyst center city philly client look rpa analyst responsible assist define requirement develop configure workflow base robotic process automation provide production support deploy hybrid position day week office time non contracting local candidate cosidere sponsorship position require solid technical skill analytical mindset aptitude quickly learn use software excellent communication end end lifecycle rpa initiative include requirement gathering process analysis solution design development testing deployment ongoing develop rpa solution industry lead rpa tool automation technical guidance mentorship junior rpa analyst deploy support bot automate repetitive task datum entry datum extraction manual analyze functional process describe business partner diagram workflow element involve source year experience robotic process automation prove track record successfully deliver rpa project inception completion robotic process automation analyst engineerrpa experience popular platform automation uipath fortra blueprism xceptor command ms excelfamiliarity datum warehouse environmentssolid experience ms sqlunderstanding process diagram workflow business requirementsexcellent technical documentation skill,0,0,"Excellent salary, full benefits, generous bonus, neat perks",0
hire time stack developer php laravel mysql hire time stack developer php laravel site deepwater nj motivated dev loves build cool stuff afraid hand dirty real code small project base team work private home office deepwater nj look stack developer join person hour day monday friday build maintain web tool dashboardsworke frontend backend backend mysql database write clean modular php laravel fast solve problem fly see real impact tech stack php laravel html cssbonus know vue js framework requirement solid experience php laravel mysqlcomfortable work site residential setup bring laptop good vibeself direct detail orient afraid ask question hour hour day monday friday room grow great fitsound like kind gig shoot quick intro text fast let build,1,0,"Startup with lots of room to grow,",1
amazon ebay shopify site run social medium house catalog seo list management amazon creative premium content branding product launch amazon walmart ppc management include sp sd sb amc dsp ebay etsy amazon review rank fba logistic walmart connect help website wellhelpe run social medium email newsletter important taking order sure ship experience important field provide run amazon store job,0,0,salary depends on experience,0
stack developer wordpress api git ai experience role fullstack developerlocation onsite preferred remote offer case case hourly contract potential long term competitive base experienceabout fast grow digital venture build scale platform real estate freelance marketplace drone service project sit intersection automation user centric design smart integration look skilled motivated stack developer thrive dynamic environment ownership technical challenge multiple build maintain custom wordpress base platform end integrate party apis openai zapi google maps stripe etc enhance platform create manage webhook support real time data interaction tool develop scalable backend infrastructure ideally php implement ai drive feature chatbot resume parser flight path collaborate product design team roll user face troubleshoot issue stack plugin conflict complex api stay ahead tech trend ai automation platform strong proficiency wordpress custom theme plugin hook rest experience work restful apis create manage familiarity ai tool especially openai apis code ai stack development html css javascript php python database skill mysql require mongodb postgresql experience git modern deployment ability work independently point experience elementor oxygen wordpress familiarity appsumo tool saas work marketplace automation platform data heavy background web scraping crm integration lead gen portfolio resume github brief note challenging wordpress api project let know availability love devs think creatively build build future let,1,0,Competitive,0
entry level train steam tutor watch demand orientation schedule interview employer stem instructor entry level start earn experience problem provide ready launch rewarding career enrich life youth stem qualify career path earn love inspire generation actively train highly motivated innovative energetic individual implement stem steam curriculum school diploma year experience work child childhood development stem communication organization problem solve english reading writing english spanish plus earn potential background check requirement complete typically week hire starting rate year completion week non pay stem instructor training opportunity grow earn base credential experience advancement company ideal candidate dependable collaborative adaptable individual eager learn assist mentor teacher deliver engage hand stem experience person job secure spot career path watch minute orientation pocket itg let build future young mind phone call,0,0,$40K per year,1
online post assistant time online product list assistant seek detail orient individual help measure photograph list product sale online retail location expand multiple online platform include ebay poshmark measure photograph product create detailed listing online manage maintain product inventory twice week flexible organize tech savvy enjoy work independently love hear,0,0,Daily,1
hire senior lead stack developer html css javascript jquery php job title senior lead stack deepwater nj hybrid location year base salary benefit promotion meet deliverable objective potential stock type time min hour week approx dynamic fast grow tech company seek talented senior lead stack developer join innovative team mission deliver cutting edge web solution drive business success passionate coding problem solve lead project want hear senior lead stack developer play critical role design develop maintain high quality web application lead team developer oversee end end software development ensure timely delivery robust scalable solution focus meet daily objective effective debugging code optimization innovative software develop maintain web application html css javascript jquery php lead stack development project concept deployment ensure scalability debug resolve complex technical issue maintain seamless application collaborate cross functional team define project requirement mentor junior developer conduct code review enforce good meet daily development debug objective ensure timely project stay update emerge technology propose improvement enhance tech year professional experience stack expertise html css javascript jquery php mysql api integration laravel strong understanding end end development prove experience lead development project manage exceptional debugging problem solve familiarity version control git agile excellent communication leadership bachelor degree computer science related field prefer promotion role offer clear path chief technology officer cto position right candidate senior lead stack developer opportunity demonstrate strategic vision technical expertise leadership future responsibility cto include oversee company technology strategy manage engineering department drive innovation technical join competitive salary comprehensive benefit opportunity grow cto collaborative innovative work flexible work option hybrid remote depend work cut edge project talented email resume brief cover letter link portfolio github include senior lead stack developer subject line excited review application reach qualified candidate interview sure include direct contact recruiter direct applicant,1,0,"$38,600 base salary +++++",0
website tester join fast apply herewe hire website tester earn hour testing easy fun way earn extra cash gamble money need complete online training program start ensure right skill easy money earn hour home earn comfort schedule choose work day quickly testing split stage pay support research coordinator available,0,0,To be discussed.,1
valuation person want cvva look run number real estate development project include npv cap irr etc adjustment experienced person apply,0,0,25 / hour,0
pay interview pastry chef need pastry chef need share professional experience look professional pastry chef participate pay interview problem workwho current professional pastry chef year professional kitchen work restaurant bakery hotel independent professionalswhat brief screening select participant invite minute total compensation complete interviewplease fill survey consider rare opportunity share professional expertise compensate valuable time experience matter,0,0,20,0
crush sale build salespeople shopify store build hit quota train rookie bleed end day damn people wake bill open commission check shrink coast real reason company survive get new quota pat let build different shopify store sell build prove viral product power influencer will run will build will chase close creator promote profit shopify hot sell product ready gocustom domain branding mobile optimize designstrategy script close influencer drive trafficsetup day plug hustlethis cookie cutter dropshippe sale drive ecommerce build closer want hamster wheel week start creator drive month scale touch close work entire investment ad brand smart pitching product placement step want ask question owner want fit fill quick application pitch straight sell long sell build,0,0,,0
ui ux designer project base mvp build mvp tech forward platform need ui ux designer help craft clear user center experience project base freelance role perfect designer enjoy work lean iterate wireframe high fidelity mockup clickable closely project lead developer align design function design responsive layout desktop mobile focus simplicity usability claritywhat year ui ux design experience portfolio showcasing clean intuitive design proficiency figma preferred adobe xd sketch available collaborate remotely weekstimeline start immediatelycompensation competitive project fee hourly,1,0,tbd,0
look iphone tester payout min time remote usa need people test io applicationwill min detail need iphone takw min timethank,1,0,$5 venmo only,0
research study app quit nondaily smoke smoke daily want quit want use app help quit app help people quit smoking app design people smoke team develop app people smoke daily conduct study test effective help people quit like participate study complete pre screening form redcap thing study randomized study mean participant assign random different group group ask use smartphone app week app different study download install use assign app online process guide complete online survey course year survey long survey critically important receive complete question reach phone email study lead faculty harvard medical school team massachusetts general hospital,0,0,$200 ,0
great pay super easy min health benefit good income super easy min affordable health benefitsno license need al associatesno selling experience need cold call sell year excellence bbb rateddaily bonus figure residual income potentialare tired live paycheck quality time hard little lifetimejoin al work year establish company bbb affordable health dental plan license require start earn immediatelydaily bonus payout pay performhuge residual income potential build financial futureproven system create multiple figure earnerswho look self motivate individual ready changepeople positive attitude enjoy help othersthose seek unlimited income potentialfull time commitment decide step hold live conference city yesterday worry record message interested health benefit position add email currently look new income stream connect let day pass wonder control financial future al associates today,4,0,Pays by commission,1
pay post online influencer perfect hustle take little time try free link quick easy way earn cash free product time job team require week provide response,0,0,Paid $25 per product posting plus free product,1
earn figure year easy sale town build figure income sell health benefit package america like find golden ticket cereal box week time work hour week perfect people look gig extra cash year old rock solid company rating license require time daily pay wallet thank qualified lead week popular puppy petting zoo work p t f t home office pant totally complex math science pure unadulterated success wait grab deal laugh way bank aforementione pajama pique run finery,0,0,Commission-based with aggressive earning potential and residuals,0
